DATE,Search With Part No ||Part Name,"M/C
 No","M/B 
Ton",Shift,Part Number,Part Name,"Material 
Name",Grade,No. of Manpower,Cavity,BOP,Shift Time (Hrs),Cycle Time (Sec), ,Plan /Hour [Nos],Plan QTY,Achive_Qty,Ok Qty,Silver,Part Catchup,Half shot,9,Flow mark,Shrinkage,Black spot,Oil/spray Mark,Hole Block,Blow Hole,colour variation,Over Cut,Bubble,ID Over Size,ID under size,Line Mark,Pit Mark,Trials Rej,Others Rej.,Start up Rej.,Total Rej.,PPM,"Part Wt.
[Gms]",Runner Wt.(Gms),Ok Part In Kgs,Runner In Kgs,Rejection In Kgs,Lumps Kgs,Total RM In Kgs,RG Usage,RG Consumption ( +ve / - ve ),"Rejection
 [%]","Waste
[%]",Total Time (Mins),Available Time (Mins),Operating Time (Mins),Mould,Machine,Power cut,Manpower,Packaging,Grinding,Nozzle /HRS,Others,Leakage,Raw material,Proccesing,Preheating Time,Start up,No plan,"Mold change 
( SMED )",Total Down Time,Planed Down Time,Unplaned Down Time,Quality %,Production %,Availability %,Utilization %,O.E.E,Remark,Cost Of Part,Cost Of OK Production,Cost Of Rejection,Rej Qty/OK Qty,PPM Function,UG REJECTION,Cost Of Rejection UG,Month
22-Oct-22,BUMPER CAP FRONT - M06901019 - MO- 21TE00041,10,80T,Day,21TE00041,BUMPER CAP FRONT - M06901019 - MO,Nylon 66,A3WG3,2,1,80T,12,33,,109,1309,352,302,,,,,,,,,,,,,,,28,,,,,22,50,14204.54545,52,3,15.704,1.056,2.6,,19.36,,-3.656,0.14,0,720,675,630,,,,,,,,,,,,,10,,35,45,45,0,86%,27%,94%,93%,22%,START UP,37.67,11376.34,1883.5,0,50000000,,0,Oct-22
22-Oct-22,G45 GLOVE BOX TOP - F2L05868-16 - MO- 21PR01040,1,1100 T,Night,21PR01040,G45 GLOVE BOX TOP - F2L05868-16 - MO,PPTF 20%,08021 BLACK,2,1,1100 T,12,85,,42,508,519,512,,,7,,,,,,,,,,,,,,,,,,7,1348.747592,860,10,440.32,5.19,6.02,,451.53,,-11.21,0.01,0,720,720,720,,,,,,,,,,,,,,,,0,0,0,99%,102%,100%,100%,101%,HALF SHOT,182.02,93194.24,1274.14,0,7000000,,0,Oct-22
22-Oct-22,BEZEL - FC430168 - MO- 21PR01039,2,450 T,Night,21PR01039,BEZEL - FC430168 - MO,PPTF,XPPA11805,2,1,450 T,12,65,,55,665,616,610,,,6,,,,,,,,,,,,,,,,,,6,974.025974,260,8,158.6,4.928,1.56,,165.088,,-6.488,0.01,0,720,700,700,,,,,,,20,,,,,,,,,20,0,20,99%,93%,97%,100%,89%,HALF SHOT,89.56,54631.6,537.36,0,6000000,,0,Oct-22
22-Oct-22,DIA 8.2 FEMALE PLUG FOR DOOR - F6B00410 - MO- 21AL01047,4,100 T,Night,21AL01047,DIA 8.2 FEMALE PLUG FOR DOOR - F6B00410 - MO,NYLON 6,SA102,1,7,100 T,12,23,,1096,13148,6324,6317,,,7,,,,,,,,,,,,,,,,,,7,110.6894371,12,8,75.804,50.592,0.084,,126.48,,-50.676,0,0,720,700,700,20,,,,,,,,,,,,,,,20,0,20,100%,48%,97%,100%,47%,HALF SHOT,2.25,14213.25,15.75,0,7000000,,0,Oct-22
22-Oct-22,CAP AE - SH385A1801 - MO- 21MA00005,5,250 T,Night,21MA00005,CAP AE - SH385A1801 - MO,NYLON 66,ZYTEL 3189,1,4,250 T,12,32,,450,5400,2932,2907,25,,,,,,,,,,,,,,,,,,,,25,852.6603001,24,2,69.768,5.864,0.6,,76.232,,-6.464,0.01,0,720,580,580,,,,,,,140,,,,,,,,,140,0,140,99%,54%,81%,100%,43%,SILVER,19.4,56395.8,485,0,25000000,,0,Oct-22
22-Oct-22,DIRT SHIELD - M06431855 - MO- 21TE00034,6,5 L,Night,21TE00034,DIRT SHIELD - M06431855 - MO,TPEE,5401,1,1,5 L,12,30,,120,1440,1440,1392,,,,,,,,,,40,,8,,,,,,,,,48,3333.333333,55,35,76.56,50.4,2.64,,129.6,162,108.96,0.03,0,720,720,720,,,,,,        ,,,,,,,,,,0,0,0,97%,100%,100%,100%,97%,BLOW HOLE,63.27,88071.84,3036.96,0,48000000,,0,Oct-22
22-Oct-22,DIRT SHIELD - M06431849 - MO- 21TE00027,7,5 L,Night,21TE00027,DIRT SHIELD - M06431849 - MO,HDPE,B56003,1,1,5 L,12,33,,109,1309,1310,1284,,,,,,,,,,19,,7,,,,,,,,,26,1984.732824,38,22,48.792,28.82,0.988,,78.6,75,45.192,0.02,0,720,720,720,,,,,,,,,,,,,,,,0,0,0,98%,100%,100%,100%,98%,BLOW HOLE,10.54,13533.36,274.04,0,26000000,,0,Oct-22
22-Oct-22,BUMPER CAP REAR - M06901003 - MO- 21TE00042,8,80 T,Night,21TE00042,BUMPER CAP REAR - M06901003 - MO,Nylon 66,A3WG3,1,1,80 T,12,30,,120,1440,1278,1278,,,,,,,,,,,,,,,,,,,,,0,0,20,2,25.56,2.556,0,,28.116,,-2.556,0,0,720,720,720,,,,,,,,,,,,,,,,0,0,0,100%,89%,100%,100%,89%,,22.34,28550.52,0,0,0,,0,Oct-22
22-Oct-22,DIRT SHIELD - M06431856 - MO- 21TE00035,9,2 L,Night,21TE00035,DIRT SHIELD - M06431856 - MO,HDPE,B56003,1,1,2 L,12,32,,113,1350,1250,1190,,,,,,,,,,38,,,,,,,,,,22,60,4800,44,17,52.36,21.25,2.64,,76.25,,-23.89,0.05,0,720,720,630,,,,,,,,,,,,,,90,,0,90,0,95%,93%,100%,88%,88%,"START UP, BLOW HOLE",10.93,13006.7,655.8,0,60000000,,0,Oct-22
22-Oct-22,BUMPER CAP FRONT - M06901019 - MO- 21TE00041,10,80T,Night,21TE00041,BUMPER CAP FRONT - M06901019 - MO,Nylon 66,A3WG3,1,1,80T,12,33,,109,1309,1278,1272,,,,,,,,,,,,,,,,,,,,6,6,469.4835681,52,3,66.144,3.834,0.312,,70.29,,-4.146,0,0,720,720,720,,,,,,,,,,,,,,,,0,0,0,100%,98%,100%,100%,97%,START UP,37.67,47916.24,226.02,0,6000000,,0,Oct-22
23-Oct-22,COVER INSTRUMENT PANEL CLUSTER SHROUD FR - FC430268 - MO- 21PR01044,1,1100 T,Day,21PR01044,COVER INSTRUMENT PANEL CLUSTER SHROUD FR - FC430268 - MO,PPTF,XPPA11805 + XPPA5407,2,1,1100 T,12,90,,40,480,437,437,,,,,,,,,,,,,,,,,,,,,0,0,1400,20,611.8,8.74,0,,620.54,,-8.74,0,0,720,660,600,,,,,,,,,,,,,,,60,60,60,0,100%,91%,92%,91%,83%,,328.77,143672.49,0,0,0,,0,Oct-22
